,name,age,season,hometown,occupation,result,city,state,job_category
0,Amanda Marsh,23,1,"Chanute, Kansas",Event Planner,1,Chanute, Kansas,Service
1,Leah Block,25,20,"Greenwood Village, Colorado",Event Planner,9,Greenwood Village, Colorado,Service
2,Natasha Parker,31,24,"Manhattan, New York",Event Planner,6,Manhattan, New York,Service
3,Trista Rehn,29,1,"St. Louis, Missouri",Miami Heat Dancer,2,St. Louis, Missouri,Entertainment
4,Shannon Oliver,24,1,"Dallas, Texas",Financial Management Consultant,3,Dallas, Texas,Business
5,Kimberly Karels,24,1,"Tempe, Arizona",Nanny,4,Tempe, Arizona,Service
6,Mallory Simons,24,11,"Honolulu, Hawaii",Nanny,14,Honolulu, Hawaii,Service
7,Amy Bean,22,12,"Stockton, California",Nanny,10,Stockton, California,Service
8,Elizabeth Kitt (NE),29,14,"Imperial, Nebraska",Nanny,10,Imperial, Nebraska,Service
9,Ashley Spivey,26,15,"Ellerbe, North Carolina",Nanny,11,Ellerbe, North Carolina,Service
10,Renee Halpin,28,15,"Palos Hills, Illinois",Nanny,29,Palos Hills, Illinois,Service
11,"Allison ""Alli"" Restko",26,18,"Orland Park, Illinois",Nanny,9,Orland Park, Illinois,Service
12,Bekah Martinez,22,22,"Clovis, California",Nanny,5,Clovis, California,Service
13,Kiarra Norman,23,24,"Kennesaw, Georgia",Nanny,14,Kennesaw, Georgia,Service
14,Viktoria Eichner,29,27,"Vienna, Austria[a]",Nanny,29,Vienna, Austria[a],Service
15,Cathy Grimes,22,1,"Terre Haute, Indiana",Graduate Student,5,Terre Haute, Indiana,Student
16,Tina Chen,27,1,"Plano, Texas",Graduate Student,15,Plano, Texas,Student
17,Lacey Latka,24,17,"Stevenson Ranch, California",Graduate Student,24,Stevenson Ranch, California,Student
18,Pieper James,23,25,"Happy Valley, Oregon",Graduate Student,5,Happy Valley, Oregon,Student
19,Christina Stencil,28,1,"Bonita, California",Attorney,6,Bonita, California,Law
20,Lisa Gold,29,1,"Dallas, Texas",Attorney,22,Dallas, Texas,Law
21,Erica Rose,23,9,"Houston, Texas",Attorney,7,Houston, Texas,Law
22,Carissa Ilburg,25,9,"Cattaraugus, New York",Attorney,16,Cattaraugus, New York,Law
23,"Meryl ""Meri"" Barr",27,9,"Biloxi, Mississippi",Attorney,23,Biloxi, Mississippi,Law
24,Alexis Young,26,10,"Southlake, Texas",Attorney,13,Southlake, Texas,Law
25,Danielle Vallis,26,10,"The Bronx, New York",Attorney,19,The Bronx, New York,Law
26,Linda Malek,33,10,"Cuyahoga Falls, Ohio",Attorney,23,Cuyahoga Falls, Ohio,Law
27,Rebecca LeBlanc,30,12,"Alamo, California",Attorney,22,Alamo, California,Law
28,Cristy Caserta,30,15,"Davie, Florida",Attorney,22,Davie, Florida,Law
29,Anindita Dutta,27,2,"Brooklyn, New York",Attorney,15,Brooklyn, New York,Law
30,Jessica Holcomb,25,5,"Pearsall, Texas",Attorney,8,Pearsall, Texas,Law
31,Samantha Passmore,26,20,"New Smyrna Beach, Florida",Attorney,20,New Smyrna Beach, Florida,Law
32,Rachel Lindsay,31,21,"Dallas, Texas",Attorney,3,Dallas, Texas,Law
33,Kelley Flanagan,27,24,"North Barrington, Illinois",Attorney,5,North Barrington, Illinois,Law
