Name,season,Age,Hometown,Occupation,Outcome,Place,Ref
Cassie Randolph[12],23,23,"Huntington Beach, California",Speech Pathologist,Winner,1,[13]
Hannah Godwin[14],23,23,"Birmingham, Alabama",Content Creator,Week 9,2,[15]
Tayshia Adams[16],23,28,"Santa Ana, California",Phlebotomist,Week 9,3,[15]
Caelynn Miller-Keyes[18],23,23,"Fredericksburg, Virginia",Miss North Carolina USA 2018,Week 8,4,[19]
Kirpa Sudick[20],23,26,"Whittier, California",Dental Hygienist,Week 7,5,[21]
Heather Martin[22],23,23,"Carlsbad, California",Assistant Program Manager,Week 7,6 (quit),[21]
Hannah Brown[14],23,24,"Northport, Alabama",Miss Alabama USA 2018,Week 7,7,[21]
Katie Morton[23],23,26,"Oviedo, Florida",Medical Sales Representative,Week 6,8,[24]
Demi Burnett[25],23,23,"Red Oak, Texas",Interior Designer,Week 6,9,[24]
Sydney Lotuaco[20],23,27,"Virginia Beach, Virginia",NBA Dancer,Week 6,10 (quit),[24]
Nicole Lopez-Alvar[26],23,25,"Miami, Florida",Social Media Coordinator,Week 5,11–12,[24]
Onyeka Ehie[25],23,24,"Manhattan, Kansas",IT Risk Consultant,Week 5,11–12,[24]
Elyse Dehlbom[27],23,31,"Soldotna, Alaska",Makeup Artist,Week 5,13 (quit),[28]
Courtney Curtis[20],23,23,"McDonough, Georgia",Caterer,Week 4,14–15,[29]
Tracy Shapoff[30],23,31,"Rochester, New York",Wardrobe Stylist,Week 4,14–15,[29]
"Brianna ""Bri"" Barnes[31]",23,24,"Chino Hills, California",Model,Week 3,16–18,[32]
Catherine Agro[26],23,26,"Fort Lauderdale, Florida",DJ,Week 3,16–18,[32]
Nina Bartula[18],23,30,"Raleigh, North Carolina",Sales Account Manager,Week 3,16–18,[32]
Caitlin Clemmens[33],23,25,"Toronto, Ontario",Realtor,Week 3,19,[32]
Alex Blumberg[20],23,29,"Vancouver, British Columbia",Dog Rescuer,Week 2,20–23,[34]
Angelique Sherman[35],23,28,"Hamilton, New Jersey",Marketing Salesperson,Week 2,20–23,[34]
Annie Reardon[5][14],23,23,"Mequon, Wisconsin",Financial Associate,Week 2,20–23,[34]
Erika McNutt[20],23,25,"Encinitas, California",Recruiter,Week 2,20–23,[34]
Alex Dillon[36],23,23,"Dennis, Massachusetts",Sloth,Week 1,24–30,[37]
Devin Gooden[38],23,23,"Medford, Oregon",Broadcast Journalist,Week 1,24–30,[37]
Erin Landry[25],23,28,"Plano, Texas",Cinderella,Week 1,24–30,[37]
"Adrianne ""Jane"" Averbukh[39]",23,26,"West Hollywood, California",Social Worker,Week 1,24–30,[37]
Laura Pellerito[25],23,26,"Dallas, Texas",Accountant,Week 1,24–30,[37]
Revian Chang[20],23,24,"Plano, Texas",Nurse,Week 1,24–30,[37]
Tahzjuan Hawkins[20],23,25,"Castle Pines, Colorado",Business Development Associate,Week 1,24–30,[37]
